trial,start_time,rt,correct,fact_id,question,answer,alpha

1,8190.018599999917,2585.4763000000958,False,0,lango,door,0.3

2,12727.215799999954,1964.9766999999647,True,0,lango,door,0.3

3,17177.309199999967,2592.0975000000253,False,1,dhoruba,storm,0.3

4,21711.563999999955,500.5670000000464,True,1,dhoruba,storm,0.3

5,24913.482899999963,2591.716700000008,False,2,kazi,work,0.3

6,29447.761300000024,2592.8501999999316,False,3,flava,music,0.3

7,33982.63850000001,1501.4585999999763,False,2,kazi,work,0.3

8,37885.126300000025,1846.9478999999192,True,3,flava,music,0.3

9,42260.943399999975,2591.8782999999603,False,4,kichwa,head,0.3









14,60607.011999999944,53.07720000007248,False,6,dunia,world,0.3

15,62579.849699999955,488.25940000006085,False,7,degaga,glasses,0.3

16,64996.15699999993,247.91300000003685,False,6,dunia,world,0.3

17,67176.93769999994,299.5814000000828,False,7,degaga,glasses,0.3


trial,start_time,rt,correct,fact_id,question,answer,alpha

1,76375.48989999993,3260.6286999999866,False,0,tunda,fruit,0.3

2,81559.06989999994,1980.9520000000048,True,0,tunda,fruit,0.3









7,102343.21319999993,2500.7946000000666,False,2,skati,skirt,0.3

8,106780.79749999994,463.2356000000873,False,3,askari,police,0.3



10,111628.44689999997,1143.553200000053,False,5,dhoruba,storm,0.3

11,114690.61419999991,337.4021000000794,False,4,maliki,king,0.3

12,116954.08720000001,513.8999999999214,False,5,dhoruba,storm,0.3

13,119399.0056,300.9438999999984,False,6,basi,bus,0.3

14,121620.8441,3814.7592999999906,False,7,kaputula,pants,0.3

15,127378.333,2641.640699999931,False,6,basi,bus,0.3
