swahili,english,difficulty
bibi,grandmother,easy
chama,society,difficult
siri,secret,easy
maslahi,interest,difficult
kanisa,church,difficult
skati,skirt,easy
roho,soul,easy
karamu,party,difficult
kijana,boy,difficult
tunda,fruit,difficult
anga,sky,easy
basi,bus,easy
ufu,death,easy
limau,lemon,easy
duka,shop,difficult
barua,letter,difficult
tunda,fruit,difficult
kijana,boy,difficult
roho,soul,easy
maslahi,interest,difficult
kanisa,church,difficult
basi,bus,easy
bibi,grandmother,easy
karamu,party,difficult
limau,lemon,easy
ufu,death,easy
siri,secret,easy
skati,skirt,easy
chama,society,difficult
duka,shop,difficult
barua,letter,difficult
anga,sky,easy
kanisa,church,difficult
kijana,boy,difficult
maslahi,interest,difficult
basi,bus,easy
tunda,fruit,difficult
chama,society,difficult
skati,skirt,easy
siri,secret,easy
bibi,grandmother,easy
karamu,party,difficult
roho,soul,easy
limau,lemon,easy
anga,sky,easy
duka,shop,difficult
ufu,death,easy
barua,letter,difficult
tunda,fruit,difficult
chama,society,difficult
skati,skirt,easy
siri,secret,easy
kanisa,church,difficult
basi,bus,easy
karamu,party,difficult
limau,lemon,easy
duka,shop,difficult
bibi,grandmother,easy
barua,letter,difficult
anga,sky,easy
roho,soul,easy
kijana,boy,difficult
maslahi,interest,difficult
ufu,death,easy
siri,secret,easy
limau,lemon,easy
skati,skirt,easy
bibi,grandmother,easy
basi,bus,easy
chama,society,difficult
barua,letter,difficult
tunda,fruit,difficult
duka,shop,difficult
kijana,boy,difficult
kanisa,church,difficult
karamu,party,difficult
roho,soul,easy
maslahi,interest,difficult
anga,sky,easy
ufu,death,easy
bibi,grandmother,easy
kijana,boy,difficult
siri,secret,easy
barua,letter,difficult
duka,shop,difficult
skati,skirt,easy
roho,soul,easy
kanisa,church,difficult
anga,sky,easy
limau,lemon,easy
tunda,fruit,difficult
chama,society,difficult
karamu,party,difficult
maslahi,interest,difficult
ufu,death,easy
basi,bus,easy
wimbo,song,difficult
chanjo,scissors,difficult
adhama,honor,easy
kitanda,bed,difficult
kichwa,head,difficult
dhoruba,storm,easy
pombe,beer,easy
tabibu,doctor,difficult
tumaini,hope,difficult
lango,door,easy
tofaa,apple,easy
likizo,holays,difficult
mbwa,dog,easy
chunga,pot,difficult
baba,father,easy
saduku,box,easy
tumaini,hope,difficult
dhoruba,storm,easy
chanjo,scissors,difficult
wimbo,song,difficult
lango,door,easy
kitanda,bed,difficult
kichwa,head,difficult
mbwa,dog,easy
pombe,beer,easy
baba,father,easy
saduku,box,easy
adhama,honor,easy
tabibu,doctor,difficult
chunga,pot,difficult
tofaa,apple,easy
likizo,holays,difficult
pombe,beer,easy
dhoruba,storm,easy
kichwa,head,difficult
lango,door,easy
tumaini,hope,difficult
baba,father,easy
chunga,pot,difficult
wimbo,song,difficult
chanjo,scissors,difficult
kitanda,bed,difficult
tabibu,doctor,difficult
likizo,holays,difficult
mbwa,dog,easy
tofaa,apple,easy
adhama,honor,easy
saduku,box,easy
pombe,beer,easy
kitanda,bed,difficult
tumaini,hope,difficult
baba,father,easy
wimbo,song,difficult
lango,door,easy
tabibu,doctor,difficult
saduku,box,easy
likizo,holays,difficult
kichwa,head,difficult
chunga,pot,difficult
mbwa,dog,easy
chanjo,scissors,difficult
tofaa,apple,easy
dhoruba,storm,easy
adhama,honor,easy
saduku,box,easy
baba,father,easy
tumaini,hope,difficult
likizo,holays,difficult
tabibu,doctor,difficult
mbwa,dog,easy
chunga,pot,difficult
wimbo,song,difficult
adhama,honor,easy
lango,door,easy
tofaa,apple,easy
chanjo,scissors,difficult
pombe,beer,easy
dhoruba,storm,easy
kichwa,head,difficult
kitanda,bed,difficult
saduku,box,easy
lango,door,easy
tumaini,hope,difficult
adhama,honor,easy
wimbo,song,difficult
chanjo,scissors,difficult
tabibu,doctor,difficult
kitanda,bed,difficult
kichwa,head,difficult
tofaa,apple,easy
chunga,pot,difficult
pombe,beer,easy
dhoruba,storm,easy
mbwa,dog,easy
likizo,holays,difficult
baba,father,easy
sauti,voice,difficult
samaki,fish,difficult
bustani,garden,easy
afisi,office,difficult
maji,ice,easy
baskeli,bike,easy
lugha,language,easy
duara,wheel,difficult
fasihi,book,difficult
jicho,eye,easy
kamba,rope,difficult
degaga,glasses,easy
kuku,chicken,easy
kiti,chair,easy
ajabu,wonder,difficult
askari,police,difficult
samaki,fish,difficult
duara,wheel,difficult
maji,ice,easy
fasihi,book,difficult
bustani,garden,easy
afisi,office,difficult
kuku,chicken,easy
jicho,eye,easy
ajabu,wonder,difficult
sauti,voice,difficult
kiti,chair,easy
askari,police,difficult
degaga,glasses,easy
kamba,rope,difficult
baskeli,bike,easy
lugha,language,easy
afisi,office,difficult
samaki,fish,difficult
maji,ice,easy
jicho,eye,easy
ajabu,wonder,difficult
askari,police,difficult
fasihi,book,difficult
kiti,chair,easy
lugha,language,easy
sauti,voice,difficult
kuku,chicken,easy
kamba,rope,difficult
bustani,garden,easy
degaga,glasses,easy
baskeli,bike,easy
duara,wheel,difficult
sauti,voice,difficult
fasihi,book,difficult
kiti,chair,easy
maji,ice,easy
samaki,fish,difficult
kuku,chicken,easy
duara,wheel,difficult
baskeli,bike,easy
jicho,eye,easy
lugha,language,easy
askari,police,difficult
kamba,rope,difficult
bustani,garden,easy
afisi,office,difficult
degaga,glasses,easy
ajabu,wonder,difficult
kuku,chicken,easy
sauti,voice,difficult
baskeli,bike,easy
jicho,eye,easy
lugha,language,easy
bustani,garden,easy
degaga,glasses,easy
afisi,office,difficult
duara,wheel,difficult
samaki,fish,difficult
fasihi,book,difficult
maji,ice,easy
kamba,rope,difficult
ajabu,wonder,difficult
askari,police,difficult
kiti,chair,easy
jicho,eye,easy
bustani,garden,easy
kuku,chicken,easy
degaga,glasses,easy
sauti,voice,difficult
kiti,chair,easy
duara,wheel,difficult
kamba,rope,difficult
lugha,language,easy
fasihi,book,difficult
samaki,fish,difficult
afisi,office,difficult
ajabu,wonder,difficult
baskeli,bike,easy
maji,ice,easy
askari,police,difficult
